film_id;remote_film_id;name;budget;popularity;release_date;revenue;vote_average;vote_count;Action;Adventure;Animation;Comedy;Crime;Documentary;Drama;Family;Fantasy;History;Horror;Mystery;Romance;Science Fiction;TV Movie;Thriller;War;Western;Music
101;654;On the Waterfront;910000;7.746;1954;9600000;8.1;581;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
102;311;Once Upon a Time in America;30000000;16.622;1984;0;8.4;1923;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
103;510;One Flew Over the Cuckoo's Nest;3000000;18.249;1975;108981275;8.4;4828;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
104;5924;Papillon;12000000;9.131;1973;53267000;8.0;719;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
105;975;Paths of Glory;935000;8.962;1957;0;8.3;990;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
106;391;Per un pugno di dollari;200000;12.017;1964;14500000;7.8;1529;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
107;797;Persona;0;7.762;1966;0;8.3;614;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
108;22;Pirates of the Caribbean: The Curse of the Black Pearl;140000000;27.79;2003;655011224;7.6;10992;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
109;792;Platoon;6000000;11.652;1986;138530565;7.7;1870;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
110;539;Psycho;806948;14.542;1960;32000000;8.4;4235;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0
111;680;Pulp Fiction;8000000;26.195;1994;213928762;8.4;13396;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
112;1578;Raging Bull;18000000;9.476;1980;23000000;7.9;1583;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
113;85;Raiders of the Lost Ark;18000000;18.263;1981;389925971;7.8;5869;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
114;380;Rain Man;25000000;9.842;1988;412800000;7.7;2769;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
115;11645;Ran;11500000;7.172;1985;4069653;8.1;525;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
